<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2010.01.10	1.44125	1.45785	1.43365	1.43857	229724	0	8
2010.01.17	1.43480	1.44131	1.40285	1.41363	250323	0	8
2010.01.24	1.41523	1.41938	1.38610	1.38611	252553	0	9
2010.01.31	1.38627	1.40255	1.35854	1.36776	237535	0	9
2010.02.07	1.36561	1.38380	1.35311	1.36309	249618	0	8
2010.02.14	1.36158	1.37881	1.34433	1.36116	225199	0	8
2010.02.21	1.36133	1.36913	1.34504	1.36310	231398	0	8
2010.02.28	1.36222	1.37351	1.34349	1.36198	228230	0	8
2010.03.07	1.36307	1.37954	1.35370	1.37678	162343	0	8
2010.03.14	1.37612	1.38171	1.35029	1.35301	184704	0	9
2010.03.21	1.35174	1.35687	1.32671	1.34075	205760	0	8
2010.03.28	1.34719	1.35904	1.33841	1.35030	176113	0	8
2010.04.04	1.34900	1.35378	1.32821	1.34984	170707	0	9
2010.04.11	1.36107	1.36913	1.34726	1.35017	208873	0	9
2010.04.18	1.34769	1.35222	1.32016	1.33811	200306	0	9
2010.04.25	1.33460	1.34147	1.31141	1.32936	243903	0	8
2010.05.02	1.33296	1.33326	1.25270	1.27518	298888	0	8
2010.05.09	1.29299	1.30934	1.23529	1.23566	314472	0	9
2010.05.16	1.23485	1.26711	1.21435	1.25712	374158	0	10
2010.05.23	1.25461	1.25622	1.21534	1.22720	266022	0	8
2010.05.30	1.22807	1.23487	1.19551	1.19671	272240	1237300000	8
2010.06.06	1.19460	1.21521	1.18758	1.21112	316404	0	8
2010.06.13	1.21188	1.24156	1.21155	1.23875	270708	0	8
2010.06.20	1.24291	1.24664	1.22090	1.23681	217772	0	8
2010.06.27	1.23781	1.26106	1.21495	1.25655	234190	0	7
2010.07.04	1.25558	1.27218	1.24796	1.26404	189642	0	7
2010.07.11	1.26413	1.30063	1.25219	1.29296	308877	0	7
2010.07.18	1.29040	1.30275	1.27318	1.29086	213396	0	7
2010.07.25	1.28940	1.31060	1.28761	1.30504	206938	0	8
2010.08.01	1.30596	1.33327	1.30533	1.32781	175776	0	6
2010.08.08	1.32880	1.33070	1.27494	1.27531	201495	0	7
2010.08.15	1.27650	1.29214	1.26634	1.27105	206021	0	7
2010.08.22	1.27050	1.27778	1.25874	1.27617	210442	0	5
2010.08.29	1.27641	1.28969	1.26250	1.28951	162228	0	5
2010.09.05	1.28934	1.29167	1.26434	1.26784	166897	0	5
2010.09.12	1.27050	1.31584	1.27040	1.30487	213717	0	7
2010.09.19	1.30460	1.34945	1.30288	1.34919	182346	0	6
2010.09.26	1.34820	1.37915	1.33810	1.37900	232903	0	6
2010.10.03	1.37877	1.40285	1.36367	1.39280	249632	0	7
2010.10.10	1.40020	1.41505	1.37752	1.39762	223958	0	8
2010.10.17	1.39727	1.40495	1.36975	1.39528	277699	0	7
2010.10.24	1.39516	1.40795	1.37338	1.39459	306137	0	7
2010.10.31	1.39703	1.42813	1.38636	1.40314	348701	0	8
2010.11.07	1.40538	1.40846	1.35735	1.36900	396564	0	8
2010.11.14	1.36829	1.37497	1.34475	1.36718	392533	0	8
2010.11.21	1.37355	1.37853	1.32003	1.32402	406871	0	9
2010.11.28	1.32750	1.34373	1.29694	1.34136	458788	0	9
2010.12.05	1.34078	1.34216	1.31645	1.32262	424403	0	7
2010.12.12	1.32052	1.34966	1.31328	1.31873	385836	0	4
2010.12.19	1.31661	1.32006	1.30549	1.31209	299467	0	8
2010.12.26	1.31129	1.34223	1.30718	1.33827	269494	0	9
2011.01.02	1.33443	1.34330	1.29044	1.29055	383714	0	8
2011.01.09	1.28939	1.34562	1.28736	1.33875	405633	0	8
2011.01.16	1.33704	1.36238	1.32448	1.36196	426252	0	6
2011.01.23	1.36097	1.37573	1.35399	1.36102	447361	0	5
2011.01.30	1.35800	1.38607	1.35436	1.35800	402459	0	8
2011.02.06	1.35686	1.37424	1.34972	1.35513	278582	0	8
2011.02.13	1.35240	1.37138	1.34279	1.36923	322173	0	8
2011.02.20	1.36886	1.38372	1.35278	1.37523	354659	0	7
2011.02.27	1.37470	1.40052	1.37110	1.39863	359458	0	7
2011.03.06	1.39921	1.40354	1.37519	1.39016	359940	0	5
2011.03.13	1.39507	1.41831	1.38550	1.41793	416914	0	8
2011.03.20	1.41808	1.42479	1.40534	1.40868	330571	0	8
2011.03.27	1.40463	1.42448	1.40204	1.42344	326961	0	7
2011.04.03	1.42312	1.44869	1.41511	1.44823	325238	0	6
2011.04.10	1.44530	1.45193	1.43647	1.44285	348475	0	7
2011.04.17	1.44162	1.46478	1.41574	1.45597	326017	0	7
2011.04.24	1.45604	1.48809	1.44929	1.48062	311532	14575658000	7
2011.05.01	1.48249	1.49385	1.43117	1.43149	375582	0	7
2011.05.08	1.43656	1.44407	1.40672	1.41170	376884	0	8
2011.05.15	1.40753	1.43451	1.40478	1.41573	235100	0	7
2011.05.22	1.41318	1.43216	1.39692	1.43173	346292	0	8
2011.05.29	1.43099	1.46420	1.42567	1.46327	342030	0	7
2011.06.05	1.46269	1.46955	1.43223	1.43458	283803	0	6
2011.06.12	1.43270	1.44971	1.40731	1.42858	413507	0	7
2011.06.19	1.42747	1.44407	1.41265	1.41865	406219	0	6
2011.06.26	1.41875	1.45501	1.41023	1.45246	373990	0	6
2011.07.03	1.45366	1.45769	1.42059	1.42632	366657	0	5
2011.07.10	1.42236	1.42808	1.38371	1.41566	474565	0	7
2011.07.17	1.41208	1.44375	1.40138	1.43580	500747	0	7
2011.07.24	1.43997	1.45350	1.42293	1.43945	402186	42079361000	5
2011.07.31	1.43607	1.44526	1.40553	1.42804	476302	46180586000	7
2011.08.07	1.43705	1.44006	1.41039	1.42479	568034	0	4
2011.08.14	1.42639	1.45167	1.42585	1.43950	467630	0	6
2011.08.21	1.43735	1.45008	1.43283	1.44984	418218	0	4
2011.08.28	1.44916	1.45482	1.41839	1.42037	428297	251457613316	6
2011.09.04	1.41571	1.42544	1.36272	1.36532	479792	0	6
2011.09.11	1.35783	1.39359	1.34989	1.37941	544412	0	6
2011.09.18	1.36761	1.37953	1.33856	1.34974	569330	0	4
2011.09.25	1.35078	1.36892	1.33624	1.33846	565075	0	4
2011.10.02	1.33447	1.35241	1.31458	1.33755	575815	0	2
2011.10.09	1.33863	1.38936	1.33774	1.38780	498006	0	6
2011.10.16	1.38782	1.39137	1.36526	1.38917	519353	0	6
2011.10.23	1.38686	1.42460	1.37997	1.41453	522590	0	6
2011.10.30	1.41501	1.41695	1.36085	1.37898	543775	0	6
2011.11.06	1.38160	1.38580	1.34837	1.37672	494669	0	5
2011.11.13	1.37759	1.37919	1.34213	1.35222	521416	0	4
2011.11.20	1.35214	1.35678	1.32119	1.32375	459859	0	4
2011.11.27	1.33095	1.35449	1.32587	1.33898	444935	0	4
2011.12.04	1.34094	1.34851	1.32810	1.33842	418893	0	4
2011.12.11	1.33636	1.33759	1.29462	1.30419	418630	0	6
2011.12.18	1.30328	1.31956	1.29828	1.30451	349511	0	3
2011.12.25	1.30487	1.30824	1.28577	1.29565	286579	0	5
2012.01.01	1.29443	1.30762	1.26972	1.27188	373701	0	5
2012.01.08	1.26923	1.28778	1.26241	1.26754	416779	0	5
2012.01.15	1.26383	1.29854	1.26254	1.29298	414711	0	5
2012.01.22	1.28808	1.32330	1.28807	1.32189	399132	0	4
2012.01.29	1.32148	1.32206	1.30257	1.31561	418856	0	4
2012.02.05	1.31211	1.33199	1.30278	1.31957	426978	0	5
2012.02.12	1.32380	1.32833	1.29745	1.31418	427567	0	5
2012.02.19	1.32026	1.34856	1.31821	1.34478	388764	0	4
2012.02.26	1.34595	1.34851	1.31876	1.31979	411748	0	5
2012.03.04	1.31953	1.32904	1.30961	1.31221	388769	0	5
2012.03.11	1.31160	1.31905	1.30032	1.31735	359095	0	5
2012.03.18	1.31797	1.32916	1.31343	1.32690	341352	0	5
2012.03.25	1.32680	1.33848	1.31919	1.33408	348155	0	5
2012.04.01	1.33562	1.33801	1.30346	1.30911	333420	0	5
2012.04.08	1.30961	1.32122	1.30330	1.30764	353276	0	5
2012.04.15	1.30690	1.32262	1.29945	1.32170	380825	0	5
2012.04.22	1.31920	1.32695	1.31042	1.32514	353589	0	5
2012.04.29	1.32408	1.32828	1.30799	1.30832	306452	0	5
2012.05.06	1.30245	1.30645	1.29044	1.29162	391689	0	5
2012.05.13	1.28872	1.29038	1.26417	1.27783	390345	0	5
2012.05.20	1.27767	1.28230	1.24964	1.25153	431732	0	5
2012.05.27	1.25707	1.26235	1.22882	1.24325	429758	0	5
2012.06.03	1.24371	1.26243	1.23854	1.25160	436821	0	5
2012.06.10	1.26478	1.26677	1.24423	1.26361	437695	0	5
2012.06.17	1.27371	1.27468	1.25191	1.25677	439106	0	5
2012.06.24	1.25544	1.26918	1.24071	1.26655	420423	0	5
2012.07.01	1.26696	1.26703	1.22598	1.22875	376626	0	5
2012.07.08	1.22659	1.23331	1.21622	1.22485	379199	0	4
2012.07.15	1.22498	1.23214	1.21440	1.21551	379945	0	5
2012.07.22	1.21217	1.23889	1.20418	1.23211	433996	0	5
2012.07.29	1.23012	1.24011	1.21337	1.23848	397075	0	4
2012.08.05	1.23945	1.24422	1.22409	1.22884	374313	0	5
2012.08.12	1.22864	1.23849	1.22561	1.23327	336236	0	5
2012.08.19	1.23380	1.25885	1.22948	1.25109	345156	0	5
2012.08.26	1.25118	1.26360	1.24647	1.25783	271377	0	4
2012.09.02	1.25803	1.28165	1.25012	1.28154	318095	0	5
2012.09.09	1.28064	1.31676	1.27543	1.31286	350167	0	5
2012.09.16	1.31239	1.31706	1.29201	1.29788	361906	0	5
2012.09.23	1.29789	1.29798	1.28293	1.28595	337360	0	4
2012.09.30	1.28488	1.30708	1.28031	1.30391	308188	0	5
