<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.04.01	00:00:00	1.10299	1.10390	1.10161	1.10286	449	0	4
2020.04.01	01:00:00	1.10288	1.10362	1.10223	1.10228	1496	0	2
2020.04.01	02:00:00	1.10230	1.10371	1.10226	1.10258	1948	0	2
2020.04.01	03:00:00	1.10258	1.10360	1.10221	1.10312	3421	0	0
2020.04.01	04:00:00	1.10312	1.10328	1.10089	1.10152	3142	0	0
2020.04.01	05:00:00	1.10152	1.10283	1.10057	1.10244	2986	0	0
2020.04.01	06:00:00	1.10244	1.10308	1.10160	1.10194	2572	0	0
2020.04.01	07:00:00	1.10194	1.10291	1.10152	1.10163	1917	0	0
2020.04.01	08:00:00	1.10163	1.10331	1.10153	1.10243	3246	0	0
2020.04.01	09:00:00	1.10242	1.10266	1.09812	1.09820	6355	0	0
2020.04.01	10:00:00	1.09829	1.09918	1.09583	1.09595	7138	0	0
2020.04.01	11:00:00	1.09595	1.09676	1.09308	1.09567	6653	0	0
2020.04.01	12:00:00	1.09567	1.09590	1.09166	1.09334	6722	0	0
2020.04.01	13:00:00	1.09334	1.09463	1.09309	1.09426	4941	0	0
2020.04.01	14:00:00	1.09426	1.09487	1.09269	1.09409	5037	0	0
2020.04.01	15:00:00	1.09409	1.09422	1.09207	1.09297	6019	0	0
2020.04.01	16:00:00	1.09297	1.09336	1.09204	1.09292	6060	0	0
2020.04.01	17:00:00	1.09293	1.09417	1.09182	1.09217	6975	0	0
2020.04.01	18:00:00	1.09216	1.09423	1.09167	1.09327	5475	0	0
2020.04.01	19:00:00	1.09327	1.09376	1.09222	1.09251	3649	0	0
2020.04.01	20:00:00	1.09250	1.09253	1.09027	1.09195	4272	0	0
2020.04.01	21:00:00	1.09193	1.09399	1.09187	1.09294	4212	0	0
2020.04.01	22:00:00	1.09294	1.09578	1.09284	1.09476	5130	0	0
2020.04.01	23:00:00	1.09477	1.09696	1.09464	1.09616	2994	0	0
2020.04.02	00:00:00	1.09619	1.09678	1.09387	1.09451	624	0	0
2020.04.02	01:00:00	1.09454	1.09594	1.09422	1.09558	1336	0	2
2020.04.02	02:00:00	1.09558	1.09558	1.09456	1.09513	1958	0	0
2020.04.02	03:00:00	1.09512	1.09528	1.09384	1.09426	2663	0	0
2020.04.02	04:00:00	1.09426	1.09589	1.09403	1.09404	2731	0	1
2020.04.02	05:00:00	1.09404	1.09450	1.09326	1.09340	2105	0	1
2020.04.02	06:00:00	1.09340	1.09398	1.09301	1.09387	1674	0	0
2020.04.02	07:00:00	1.09387	1.09449	1.09345	1.09439	1099	0	0
2020.04.02	08:00:00	1.09439	1.09500	1.09407	1.09460	2232	0	1
2020.04.02	09:00:00	1.09460	1.09643	1.09339	1.09366	5091	0	0
2020.04.02	10:00:00	1.09363	1.09527	1.09317	1.09320	4998	0	0
2020.04.02	11:00:00	1.09322	1.09344	1.09146	1.09188	5460	0	0
2020.04.02	12:00:00	1.09188	1.09396	1.09146	1.09348	4670	0	0
2020.04.02	13:00:00	1.09348	1.09375	1.09142	1.09199	4389	0	0
2020.04.02	14:00:00	1.09199	1.09290	1.09079	1.09133	4749	0	0
2020.04.02	15:00:00	1.09134	1.09152	1.08749	1.08794	7994	0	0
2020.04.02	16:00:00	1.08794	1.08822	1.08404	1.08512	7890	0	0
2020.04.02	17:00:00	1.08515	1.09001	1.08435	1.08624	11208	0	0
2020.04.02	18:00:00	1.08623	1.08811	1.08440	1.08615	8004	0	0
2020.04.02	19:00:00	1.08617	1.08736	1.08370	1.08415	6540	0	0
2020.04.02	20:00:00	1.08415	1.08483	1.08256	1.08259	4831	0	0
2020.04.02	21:00:00	1.08261	1.08515	1.08205	1.08512	4820	0	0
2020.04.02	22:00:00	1.08512	1.08577	1.08412	1.08494	5270	0	0
2020.04.02	23:00:00	1.08494	1.08664	1.08452	1.08568	2296	0	0
2020.04.03	00:00:00	1.08550	1.08641	1.08488	1.08518	477	0	12
2020.04.03	01:00:00	1.08520	1.08584	1.08498	1.08498	1233	0	3
2020.04.03	02:00:00	1.08498	1.08511	1.08415	1.08458	1791	0	1
2020.04.03	03:00:00	1.08458	1.08459	1.08330	1.08422	3191	0	1
